location,year,population
"Phoenix, Arizona",2003,1368806
"Anaheim, California",2003,334029
"Los Angeles, California",2003,3784279
"Oakland, California",2003,393538
"San Diego, California",2003,1254603
"San Francisco, California",2003,766160
"Denver, Colorado",2003,552588
"Washington, District of Columbia",2003,568502
"Miami, Florida",2003,374387
"St. Petersburg, Florida",2003,249142
"Atlanta, Georgia",2003,403080
"Chicago, Illinois",2003,2819117
"Baltimore, Maryland",2003,629033
"Boston, Massachusetts",2003,595864
"Detroit, Michigan",2003,884411
"Minneapolis, Minnesota",2003,380189
"Kansas, Missouri",2003,445623
"St. Louis, Missouri",2003,334893
"New York, New York",2003,8068073
"Cincinnati, Ohio",2003,317432
"Cleveland, Ohio",2003,452228
"Philadelphia, Pennsylvania",2003,1493802
"Pittsburgh, Pennsylvania",2003,323589
"Arlington, Texas",2003,340699
"Houston, Texas",2003,1992464
"Seattle, Washington",2003,566751
"Milwaukee, Wisconsin",2003,594303
"Phoenix, Arizona",2004,1386945
"Anaheim, California",2004,334392
"Los Angeles, California",2004,3792650
"Oakland, California",2004,388633
"San Diego, California",2004,1256969
"San Francisco, California",2004,761325
"Denver, Colorado",2004,550756
"Washington, District of Columbia",2004,567754
"Miami, Florida",2004,377924
"St. Petersburg, Florida",2004,249423
"Atlanta, Georgia",2004,397365
"Chicago, Illinois",2004,2786291
"Baltimore, Maryland",2004,624222
"Boston, Massachusetts",2004,591166
"Detroit, Michigan",2004,861186
"Minneapolis, Minnesota",2004,378749
"Kansas, Missouri",2004,445928
"St. Louis, Missouri",2004,330988
"New York, New York",2004,8043366
"Cincinnati, Ohio",2004,312648
"Cleveland, Ohio",2004,443502
"Philadelphia, Pennsylvania",2004,1492882
"Pittsburgh, Pennsylvania",2004,318960
"Arlington, Texas",2004,342162
"Houston, Texas",2004,1991817
"Seattle, Washington",2004,568719
"Milwaukee, Wisconsin",2004,592008
"Phoenix, Arizona",2005,1417720
"Anaheim, California",2005,333165
"Los Angeles, California",2005,3788197
"Oakland, California",2005,384931
"San Diego, California",2005,1257278
"San Francisco, California",2005,763016
"Denver, Colorado",2005,551691
"Washington, District of Columbia",2005,567136
"Miami, Florida",2005,382198
"St. Petersburg, Florida",2005,249457
"Atlanta, Georgia",2005,396311
"Chicago, Illinois",2005,2752523
"Baltimore, Maryland",2005,621560
"Boston, Massachusetts",2005,587260
"Detroit, Michigan",2005,837407
"Minneapolis, Minnesota",2005,376937
"Kansas, Missouri",2005,447015
"St. Louis, Missouri",2005,324945
"New York, New York",2005,8013368
"Cincinnati, Ohio",2005,308398
"Cleveland, Ohio",2005,433919
"Philadelphia, Pennsylvania",2005,1490861
"Pittsburgh, Pennsylvania",2005,314412
"Arlington, Texas",2005,344472
"Houston, Texas",2005,1995773
"Seattle, Washington",2005,573336
"Milwaukee, Wisconsin",2005,588565
"Phoenix, Arizona",2006,1441241
"Anaheim, California",2006,331261
"Los Angeles, California",2006,3767960
"Oakland, California",2006,383107
"San Diego, California",2006,1257625
"San Francisco, California",2006,768650
"Denver, Colorado",2006,556895
"Washington, District of Columbia",2006,570681
"Miami, Florida",2006,385314
"St. Petersburg, Florida",2006,247788
"Atlanta, Georgia",2006,403548
"Chicago, Illinois",2006,2720181
"Baltimore, Maryland",2006,621109
"Boston, Massachusetts",2006,587816
"Detroit, Michigan",2006,811922
"Minneapolis, Minnesota",2006,376495
"Kansas, Missouri",2006,449652
"St. Louis, Missouri",2006,320131
"New York, New York",2006,7993906
"Cincinnati, Ohio",2006,304713
"Cleveland, Ohio",2006,423831
"Philadelphia, Pennsylvania",2006,1488710
"Pittsburgh, Pennsylvania",2006,311016
"Arlington, Texas",2006,350759
"Houston, Texas",2006,2038721
"Seattle, Washington",2006,580609
"Milwaukee, Wisconsin",2006,586395
"Phoenix, Arizona",2007,1450901
"Anaheim, California",2007,330178
"Los Angeles, California",2007,3751872
"Oakland, California",2007,383500
"San Diego, California",2007,1266198
"San Francisco, California",2007,778673
"Denver, Colorado",2007,564395
"Washington, District of Columbia",2007,574404
"Miami, Florida",2007,386814
"St. Petersburg, Florida",2007,246037
"Atlanta, Georgia",2007,410086
"Chicago, Illinois",2007,2703991
"Baltimore, Maryland",2007,620306
"Boston, Massachusetts",2007,593136
"Detroit, Michigan",2007,784998
"Minneapolis, Minnesota",2007,377575
"Kansas, Missouri",2007,452322
"St. Louis, Missouri",2007,317959
"New York, New York",2007,8013775
"Cincinnati, Ohio",2007,301824
"Cleveland, Ohio",2007,415865
"Philadelphia, Pennsylvania",2007,1493309
"Pittsburgh, Pennsylvania",2007,308999
"Arlington, Texas",2007,355940
"Houston, Texas",2007,2044612
"Seattle, Washington",2007,586956
"Milwaukee, Wisconsin",2007,586445
"Phoenix, Arizona",2008,1456729
"Anaheim, California",2008,332102
"Los Angeles, California",2008,3763566
"Oakland, California",2008,386589
"San Diego, California",2008,1282692
"San Francisco, California",2008,791152
"Denver, Colorado",2008,575721
"Washington, District of Columbia",2008,580236
"Miami, Florida",2008,389996
"St. Petersburg, Florida",2008,245195
"Atlanta, Georgia",2008,414233
"Chicago, Illinois",2008,2697359
"Baltimore, Maryland",2008,620184
"Boston, Massachusetts",2008,600685
"Detroit, Michigan",2008,756383
"Minneapolis, Minnesota",2008,379185
"Kansas, Missouri",2008,454348
"St. Louis, Missouri",2008,317955
"New York, New York",2008,8068195
"Cincinnati, Ohio",2008,299145
"Cleveland, Ohio",2008,408261
"Philadelphia, Pennsylvania",2008,1499731
"Pittsburgh, Pennsylvania",2008,307673
"Arlington, Texas",2008,359679
"Houston, Texas",2008,2060477
"Seattle, Washington",2008,593588
"Milwaukee, Wisconsin",2008,587858
"Phoenix, Arizona",2009,1452679
"Anaheim, California",2009,334429
"Los Angeles, California",2009,3781938
"Oakland, California",2009,389613
"San Diego, California",2009,1295591
"San Francisco, California",2009,801922
"Denver, Colorado",2009,589011
"Washington, District of Columbia",2009,592228
"Miami, Florida",2009,394347
"St. Petersburg, Florida",2009,244646
"Atlanta, Georgia",2009,417090
"Chicago, Illinois",2009,2697006
"Baltimore, Maryland",2009,620509
"Boston, Massachusetts",2009,612669
"Detroit, Michigan",2009,731155
"Minneapolis, Minnesota",2009,381638
"Kansas, Missouri",2009,457897
"St. Louis, Missouri",2009,318842
"New York, New York",2009,8131574
"Cincinnati, Ohio",2009,298239
"Cleveland, Ohio",2009,401770
"Philadelphia, Pennsylvania",2009,1514694
"Pittsburgh, Pennsylvania",2009,306570
"Arlington, Texas",2009,363426
"Houston, Texas",2009,2087334
"Seattle, Washington",2009,604189
"Milwaukee, Wisconsin",2009,592180
"Phoenix, Arizona",2010,1449038
"Anaheim, California",2010,336760
"Los Angeles, California",2010,3795512
"Oakland, California",2010,391406
"San Diego, California",2010,1305906
"San Francisco, California",2010,805505
"Denver, Colorado",2010,603359
"Washington, District of Columbia",2010,605226
"Miami, Florida",2010,400779
"St. Petersburg, Florida",2010,245222
"Atlanta, Georgia",2010,429410
"Chicago, Illinois",2010,2697477
"Baltimore, Maryland",2010,620915
"Boston, Massachusetts",2010,621048
"Detroit, Michigan",2010,711131
"Minneapolis, Minnesota",2010,383067
"Kansas, Missouri",2010,460697
"St. Louis, Missouri",2010,319336
"New York, New York",2010,8190209
"Cincinnati, Ohio",2010,296980
"Cleveland, Ohio",2010,395926
"Philadelphia, Pennsylvania",2010,1528283
"Pittsburgh, Pennsylvania",2010,305283
"Arlington, Texas",2010,365892
"Houston, Texas",2010,2100280
"Seattle, Washington",2010,610630
"Milwaukee, Wisconsin",2010,594865
"Phoenix, Arizona",2011,1469796
"Anaheim, California",2011,339831
"Los Angeles, California",2011,3820876
"Oakland, California",2011,396086
"San Diego, California",2011,1319592
"San Francisco, California",2011,815650
"Denver, Colorado",2011,620530
"Washington, District of Columbia",2011,619800
"Miami, Florida",2011,406593
"St. Petersburg, Florida",2011,245871
"Atlanta, Georgia",2011,437812
"Chicago, Illinois",2011,2708114
"Baltimore, Maryland",2011,620410
"Boston, Massachusetts",2011,630505
"Detroit, Michigan",2011,705118
"Minneapolis, Minnesota",2011,388052
"Kansas, Missouri",2011,462368
"St. Louis, Missouri",2011,319344
"New York, New York",2011,8272948
"Cincinnati, Ohio",2011,296187
"Cleveland, Ohio",2011,392667
"Philadelphia, Pennsylvania",2011,1540466
"Pittsburgh, Pennsylvania",2011,306012
"Arlington, Texas",2011,370253
"Houston, Texas",2011,2126032
"Seattle, Washington",2011,622694
"Milwaukee, Wisconsin",2011,597086
"Phoenix, Arizona",2012,1499274
"Anaheim, California",2012,342071
"Los Angeles, California",2012,3851202
"Oakland, California",2012,401104
"San Diego, California",2012,1336776
"San Francisco, California",2012,828876
"Denver, Colorado",2012,635163
"Washington, District of Columbia",2012,634924
"Miami, Florida",2012,411149
"St. Petersburg, Florida",2012,246656
"Atlanta, Georgia",2012,449016
"Chicago, Illinois",2012,2719141
"Baltimore, Maryland",2012,622895
"Boston, Massachusetts",2012,642955
"Detroit, Michigan",2012,700183
"Minneapolis, Minnesota",2012,392768
"Kansas, Missouri",2012,464595
"St. Louis, Missouri",2012,319416
"New York, New York",2012,8346693
"Cincinnati, Ohio",2012,296900
