,team,payroll,year
0,Los Angeles Dodgers,285508333,2022
1,New York Mets,255919999,2022
2,New York Yankees,240290714,2022
3,Philadelphia Phillies,221738462,2022
4,San Diego Padres,202172618,2022
5,Boston Red Sox,201616000,2022
6,Chicago White Sox,190760734,2022
7,Los Angeles Angels,187613094,2022
8,Atlanta Braves,175335000,2022
9,Houston Astros,171639599,2022
10,Toronto Blue Jays,164470905,2022
11,St. Louis Cardinals,150746666,2022
12,San Francisco Giants,142292500,2022
13,Chicago Cubs,141810000,2022
14,Colorado Rockies,137852166,2022
15,Texas Rangers,134961333,2022
16,Minnesota Twins,130984524,2022
17,Detroit Tigers,128640000,2022
18,Milwaukee Brewers,128581128,2022
19,Washington Nationals,114623095,2022
20,Cincinnati Reds,113580000,2022
21,Seattle Mariners,92745714,2022
22,Kansas City Royals,84610000,2022
23,Miami Marlins,79500000,2022
24,Arizona Diamondbacks,77393333,2022
25,Tampa Bay Rays,75347813,2022
26,Cleveland Guardians,57710000,2022
27,Baltimore Orioles,41421166,2022
28,Pittsburgh Pirates,38575000,2022
29,Oakland A’s,32548334,2022
30,Los Angeles Dodgers,241372403,2021
31,New York Yankees,201074956,2021
32,New York Mets,186001814,2021
33,Los Angeles Angels,180609676,2021
34,Washington Nationals,179557685,2021
35,Boston Red Sox,179540260,2021
36,Houston Astros,176495417,2021
37,San Diego Padres,175713986,2021
38,Philadelphia Phillies,174808832,2021
39,St. Louis Cardinals,164972833,2021
40,Chicago Cubs,156481585,2021
41,San Francisco Giants,149937613,2021
42,Toronto Blue Jays,139646569,2021
43,Atlanta Braves,132458375,2021
44,Chicago White Sox,127148334,2021
45,Minnesota Twins,125153166,2021
46,Cincinnati Reds,123575488,2021
47,Colorado Rockies,110309500,2021
48,Texas Rangers,97796971,2021
49,Arizona Diamondbacks,94394792,2021
50,Milwaukee Brewers,93818038,2021
51,Kansas City Royals,89496700,2021
52,Seattle Mariners,83603100,2021
53,Oakland A’s,82983674,2021
54,Detroit Tigers,80866200,2021
55,Tampa Bay Rays,66820709,2021
56,Miami Marlins,57481750,2021
